PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,superpop
5.294691,6.106465,6.6929436,6.6356063,6.690904,-0.76307607,1.564576,0.3338438,0.76043135,-0.50394833,-1.7534063,0.7192827,0.7967416,-2.9351177,2.417913,-0.4025539,-0.3460616,0.66049117,-0.899834,-0.7010613,3.0
3.115169,4.6513257,5.0001917,2.5301247,3.6396708,0.1649674,1.2509198,1.5765046,-0.028753301,-0.22086196,1.1629249,0.061621144,1.4593446,1.5763947,-0.083202854,0.7898447,1.3696672,0.0001672425,1.5332859,-1.0556029,2.0
1.5265964,2.7457166,1.9488602,1.0799015,0.383471,0.6178592,0.9905403,-0.07289082,-0.18578994,0.49879235,0.6660664,-0.005563772,0.34781542,1.0037615,-0.048773658,-0.9810303,-0.7501467,1.7695509,-0.32689944,1.268662,1.0
7.909927,8.610579,10.360254,9.390765,8.488632,-1.556664,0.16058497,-0.065374866,0.24138556,0.25509185,-0.74573225,0.3132508,-1.2305065,-0.7293778,1.3570845,-0.86372626,0.39547336,0.8988312,0.23422441,-0.58664715,4.0
4.5522504,5.680045,5.5166965,6.5846677,7.095537,-1.2147279,1.1994194,0.523519,0.848343,0.50262254,0.2918023,-1.3653749,0.21476091,-0.35737255,-0.07396753,0.17984301,1.4976438,0.15026262,0.6008472,1.6270145,3.0
8.844297,6.7413187,8.20564,10.8190775,8.171253,-3.2832227,1.632182,0.52340907,-0.18272135,-0.92816395,1.2616003,0.5515216,0.9022717,0.9851429,0.904128,-0.75437105,-0.92816037,0.116106614,-0.036106624,-0.7988399,4.0
3.5450075,4.143449,3.3509226,4.552267,2.9198833,1.8971844,-0.4509991,-0.32439297,-0.30057526,2.514443,0.24120094,2.3122654,-0.46495128,-0.9082715,-0.3745714,0.5753987,-0.9246146,0.92231315,0.20910244,0.15666516,2.0
1.8455724,0.5245615,-0.8391465,-2.0681489,-0.24521866,-0.9327184,-1.4362742,-1.4321941,-0.2686442,-0.58229536,0.06753925,1.4472526,0.226209,1.3942469,-0.4230768,-0.3613037,0.107835315,-0.15097302,1.0747019,-0.7849532,0.0
-0.6845295,-1.6454653,0.32840267,-0.50796443,0.6005874,0.57470554,-1.1940304,-0.55031544,1.0202429,-0.25568986,0.26035953,-0.77185136,-1.3653368,0.23231521,0.24476177,0.4629979,0.24402866,0.11117002,1.6521823,-0.1633419,0.0
0.97026515,4.466943,1.9618491,1.1086508,2.1888313,-0.9953923,-1.4492562,-1.2797071,0.5086129,-0.7369714,1.443228,-1.8819437,-0.011364848,0.5061738,0.016455613,-0.103362195,0.23595835,0.02597516,0.18099685,0.63306224,1.0
-0.09081933,-0.11301066,-0.28859913,0.48166516,0.81521654,-0.3652269,0.5574687,0.3984753,0.74117714,2.0432012,2.1533003,-0.24163316,-0.96436423,0.18517652,-0.5571847,0.27549708,-0.41864413,-1.5972366,-0.34540996,-0.32734904,0.0
4.7427073,1.3027204,2.6003451,2.0491567,1.5005782,-1.625645,-0.12559742,0.08248497,1.527649,-0.020829748,-0.4283985,1.1792209,-0.5153739,0.65849745,-0.28251976,-0.008168392,1.948594,-0.4363344,1.3043518,2.5707593,1.0
8.855045,8.2641325,7.8584404,7.0902963,8.706736,0.6330639,0.9058648,-1.6679953,-0.7431969,-1.8175381,0.41432858,-0.37659135,-0.66242,-1.633011,1.2255785,0.0217968,1.4232205,-1.3822911,-0.9995509,-0.6170618,4.0
0.6696191,-0.53671396,1.6198125,-0.019992739,0.656836,-0.5369008,-0.60476744,-0.9232767,1.407126,-0.6312123,0.8943717,-0.4950507,-1.0757275,-0.65868324,0.6258076,-1.8300767,0.44299498,1.126029,-0.39632505,-0.2711931,0.0
-1.4912946,-0.405847,1.1723905,-0.17447312,-0.95012665,1.0473938,-0.4979564,1.3761715,0.4744008,-0.48171946,-1.4273295,0.9846629,-0.38462254,1.1934102,-1.7062689,1.2430534,-0.61661476,-0.38583565,-0.830917,-1.7219558,0.0
6.0930405,4.2715855,6.431493,5.432916,5.1099744,-0.5209523,-0.30507502,0.34100944,-0.36684385,0.35492605,-0.25084254,-0.048235152,-0.88118726,-0.69993734,1.0031419,-0.061419077,0.6832003,1.2613099,-0.17333786,-0.43094644,3.0
8.092465,9.37623,8.165614,6.983267,7.1198306,-0.07948181,-0.057302926,0.8569331,-0.74188393,-0.25100106,-1.4093406,-1.2009393,0.98228735,-0.18283518,-0.25439873,2.0552218,-1.113034,0.040318657,-1.5184457,-0.45208362,4.0
3.4713707,2.2313886,3.1553123,4.370228,4.3485084,0.13183671,-0.5596804,-0.947882,-0.08259379,-0.1740004,0.4692521,-0.45953116,1.5762823,0.58165914,0.33040935,-1.5230378,1.3612351,1.4371771,0.45560566,-0.45783326,2.0
