IID	super_pop
HG00096	EUR
HG00108	EUR
HG00109	EUR
HG00114	EUR
HG00115	EUR
HG00117	EUR
HG00120	EUR
HG00123	EUR
HG00129	EUR
HG00136	EUR
HG00138	EUR
HG00141	EUR
HG00148	EUR
HG00154	EUR
HG00157	EUR
HG00160	EUR
HG00177	EUR
HG00186	EUR
HG00187	EUR
HG00236	EUR
HG00239	EUR
HG00243	EUR
HG00253	EUR
HG00254	EUR
HG00264	EUR
HG00266	EUR
HG00268	EUR
HG00269	EUR
HG00270	EUR
HG00303	EUR
HG00308	EUR
HG00321	EUR
HG00327	EUR
HG00328	EUR
HG00343	EUR
HG00351	EUR
HG00359	EUR
HG00361	EUR
HG00368	EUR
HG00369	EUR
HG00375	EUR
HG00380	EUR
HG00446	EAS
HG00452	EAS
HG00464	EAS
HG00472	EAS
HG00476	EAS
HG00478	EAS
HG00512	EAS
HG00533	EAS
HG00559	EAS
HG00596	EAS
HG00613	EAS
HG00622	EAS
HG00625	EAS
HG00638	AMR
HG00671	EAS
HG00731	AMR
HG00766	EAS
HG00881	EAS
HG01066	AMR
HG01077	AMR
HG01086	AMR
HG01124	AMR
HG01140	AMR
HG01170	AMR
HG01197	AMR
HG01204	AMR
HG01269	AMR
HG01303	AMR
HG01311	AMR
HG01323	AMR
HG01334	EUR
HG01347	AMR
HG01348	AMR
HG01353	AMR
HG01354	AMR
HG01356	AMR
HG01357	AMR
HG01362	AMR
HG01366	AMR
HG01378	AMR
HG01392	AMR
HG01443	AMR
HG01479	AMR
HG01497	AMR
HG01503	EUR
HG01506	EUR
HG01512	EUR
HG01513	EUR
HG01525	EUR
HG01531	EUR
HG01537	EUR
HG01565	AMR
HG01589	SAS
HG01603	EUR
HG01613	EUR
HG01615	EUR
HG01618	EUR
HG01623	EUR
HG01626	EUR
HG01631	EUR
HG01670	EUR
HG01676	EUR
HG01684	EUR
HG01699	EUR
HG01708	EUR
HG01766	EUR
HG01777	EUR
HG01801	EAS
HG01849	EAS
HG01863	EAS
HG01926	AMR
HG01989	AFR
HG01995	AMR
HG02006	AMR
HG02023	EAS
HG02025	EAS
HG02026	EAS
HG02028	EAS
HG02029	EAS
HG02084	EAS
HG02087	EAS
HG02122	EAS
HG02138	EAS
HG02144	AFR
HG02173	EAS
HG02181	EAS
HG02219	EUR
HG02220	EUR
HG02230	EUR
HG02231	EUR
HG02233	EUR
HG02236	EUR
HG02266	AMR
HG02281	AFR
HG02284	AFR
HG02285	AMR
HG02286	AMR
HG02304	AMR
HG02314	AFR
HG02317	AFR
HG02339	AFR
HG02345	AMR
HG02367	EAS
HG02383	EAS
HG02391	EAS
HG02436	AFR
HG02450	AFR
HG02489	AFR
HG02491	SAS
HG02494	SAS
HG02511	AFR
HG02522	EAS
HG02525	EAS
HG02557	AFR
HG02580	AFR
HG02621	AFR
HG02643	AFR
HG02645	AFR
HG02652	SAS
HG02654	SAS
HG02660	SAS
HG02681	SAS
HG02687	SAS
HG02697	SAS
HG02725	SAS
HG02727	SAS
HG02733	SAS
HG02763	AFR
HG02786	SAS
HG02789	SAS
HG02840	AFR
HG02891	AFR
HG02952	AFR
HG02968	AFR
HG03009	SAS
HG03019	SAS
HG03105	AFR
HG03111	AFR
HG03121	AFR
HG03280	AFR
HG03301	AFR
HG03369	AFR
HG03381	AFR
HG03397	AFR
HG03436	AFR
HG03517	AFR
HG03598	SAS
HG03606	SAS
HG03607	SAS
HG03619	SAS
HG03621	SAS
HG03624	SAS
HG03640	SAS
HG03642	SAS
HG03645	SAS
HG03656	SAS
HG03668	SAS
HG03686	SAS
HG03690	SAS
HG03694	SAS
HG03695	SAS
HG03706	SAS
HG03711	SAS
HG03717	SAS
HG03720	SAS
HG03723	SAS
HG03727	SAS
HG03731	SAS
HG03740	SAS
HG03744	SAS
HG03750	SAS
HG03756	SAS
HG03779	SAS
HG03784	SAS
HG03793	SAS
HG03803	SAS
HG03814	SAS
HG03823	SAS
HG03826	SAS
HG03836	SAS
HG03845	SAS
HG03854	SAS
HG03858	SAS
HG03866	SAS
HG03867	SAS
HG03872	SAS
HG03875	SAS
HG03900	SAS
HG03914	SAS
HG03922	SAS
HG03934	SAS
HG03943	SAS
HG03947	SAS
HG03960	SAS
HG03972	SAS
HG03973	SAS
HG03974	SAS
HG03978	SAS
HG03999	SAS
HG04002	SAS
HG04018	SAS
HG04026	SAS
HG04035	SAS
HG04038	SAS
HG04054	SAS
HG04059	SAS
HG04076	SAS
HG04099	SAS
HG04114	SAS
HG04131	SAS
HG04141	SAS
HG04147	SAS
HG04156	SAS
HG04174	SAS
HG04176	SAS
HG04177	SAS
HG04186	SAS
HG04188	SAS
HG04208	SAS
HG04216	SAS
HG04219	SAS
HG04225	SAS
HG04227	SAS
HG04235	SAS
HG04301	EUR
HG04302	EUR
NA07031	EUR
NA07037	EUR
NA07056	EUR
NA07340	EUR
NA07346	EUR
NA10830	EUR
NA11831	EUR
NA11881	EUR
NA11882	EUR
NA11892	EUR
NA11893	EUR
NA11894	EUR
NA11930	EUR
NA11992	EUR
NA11995	EUR
NA12234	EUR
NA12275	EUR
NA12343	EUR
NA12399	EUR
NA12413	EUR
NA12716	EUR
NA12748	EUR
NA12749	EUR
NA12761	EUR
NA12814	EUR
NA12815	EUR
NA12828	EUR
NA12829	EUR
NA12843	EUR
NA12873	EUR
NA12874	EUR
NA12890	EUR
NA18488	AFR
NA18505	AFR
NA18528	EAS
NA18536	EAS
NA18541	EAS
NA18553	EAS
NA18561	EAS
NA18610	EAS
NA18613	EAS
NA18616	EAS
NA18620	EAS
NA18636	EAS
NA18642	EAS
NA18856	AFR
NA18867	AFR
NA18873	AFR
NA18944	EAS
NA18966	EAS
NA18973	EAS
NA18980	EAS
NA18983	EAS
NA18985	EAS
NA18987	EAS
NA18993	EAS
NA19000	EAS
NA19020	AFR
NA19028	AFR
NA19041	AFR
NA19042	AFR
NA19068	EAS
NA19072	EAS
NA19078	EAS
NA19087	EAS
NA19093	AFR
NA19101	AFR
NA19114	AFR
NA19197	AFR
NA19236	AFR
NA19239	AFR
NA19311	AFR
NA19315	AFR
NA19372	AFR
NA19373	AFR
NA19375	AFR
NA19381	AFR
NA19445	AFR
NA19454	AFR
NA19471	AFR
NA19676	AMR
NA19700	AFR
NA19701	AFR
NA19712	AFR
NA19723	AMR
NA19729	AMR
NA19755	AMR
NA19779	AMR
NA19792	AMR
NA19819	AFR
NA20284	AFR
NA20318	AFR
NA20412	AFR
NA20504	EUR
NA20510	EUR
NA20520	EUR
NA20524	EUR
NA20529	EUR
NA20538	EUR
NA20582	EUR
NA20589	EUR
NA20753	EUR
NA20754	EUR
NA20755	EUR
NA20762	EUR
NA20763	EUR
NA20767	EUR
NA20771	EUR
NA20773	EUR
NA20785	EUR
NA20786	EUR
NA20790	EUR
NA20808	EUR
NA20814	EUR
NA20846	SAS
NA20847	SAS
NA20849	SAS
NA20852	SAS
NA20858	SAS
NA20861	SAS
NA20863	SAS
NA20870	SAS
NA20873	SAS
NA20881	SAS
NA20892	SAS
NA20894	SAS
NA20897	SAS
NA20903	SAS
NA20905	SAS
NA21088	SAS
NA21092	SAS
NA21094	SAS
NA21104	SAS
NA21106	SAS
NA21113	SAS
NA21118	SAS
NA21119	SAS
NA21123	SAS
NA21128	SAS
NA21141	SAS
NA21142	SAS
NA21144	SAS
