IID	ALLELE_CT	NAMED_ALLELE_DOSAGE_SUM	PC1_AVG	PC2_AVG	PC3_AVG	PC4_AVG	PC5_AVG	PC6_AVG	PC7_AVG	PC8_AVG	PC9_AVG	PC10_AVG	super_pop
HG00096	1734414	1734414	0.0935475	-0.129071	-0.0292312	-0.0413522	-0.00108263	0.00163112	0.00423133	0.00835879	-0.00063899	0.000786778	EUR
HG00097	1733276	1733276	0.0922489	-0.131118	-0.0275428	-0.0378467	-0.00132921	0.00295986	0.00326657	0.00811931	0.00116166	0.00317383	EUR
HG00099	1733294	1733294	0.0941905	-0.130775	-0.0303854	-0.0374139	-0.00204407	0.00515341	0.00851477	0.00990039	0.00357506	0.0120959	EUR
HG00100	1730980	1730980	0.0912799	-0.130575	-0.0275521	-0.0360562	-0.000224883	0.00196248	0.00273331	0.0034189	0.00504537	0.0103894	EUR
HG00102	1732858	1732858	0.0958412	-0.129475	-0.0249526	-0.0355413	-0.00312732	0.00695987	0.00908035	0.0106544	0.00207816	0.00766731	EUR
HG00104	1721854	1721854	0.0921233	-0.128576	-0.025913	-0.032913	0.000621078	0.00452778	0.00369796	0.00895308	0.00296384	0.0087253	EUR
HG00108	1733592	1733592	0.0906194	-0.129867	-0.0301061	-0.0400085	-0.0013052	0.00106064	0.00805508	0.0103869	0.00254986	0.0103316	EUR
HG00109	1732510	1732510	0.0924848	-0.129099	-0.0277367	-0.0422949	-0.00027597	0.000828136	0.00394011	0.00462668	0.000702277	0.00828687	EUR
HG00110	1732364	1732364	0.0955068	-0.127056	-0.0271046	-0.0385397	-0.00236099	0.00526327	0.00811237	0.0116859	0.00282816	0.0092505	EUR
HG00112	1735460	1735460	0.0947628	-0.128967	-0.0253288	-0.0377456	-0.00134433	0.00121151	0.00759263	0.0119576	0.00572956	0.00455246	EUR
HG00113	1725722	1725722	0.0924254	-0.129363	-0.028517	-0.0385092	-0.0013348	0.000366043	0.00377415	0.0046779	0.00526355	0.0129558	EUR
HG00114	1732480	1732480	0.0921749	-0.130543	-0.0297439	-0.0402108	-0.000536478	0.0036204	0.00351124	0.0037242	0.00602355	0.00905088	EUR
HG00115	1734334	1734334	0.0934938	-0.131436	-0.0268015	-0.0394371	-0.00185774	2.02121e-05	0.00359063	0.00572792	-7.26298e-06	0.0056028	EUR
HG00116	1734586	1734586	0.0955882	-0.130584	-0.0314629	-0.0399284	-0.00328751	0.00335404	0.00820271	0.0097049	0.00253914	0.0181465	EUR
HG00118	1733452	1733452	0.0946512	-0.129903	-0.0296233	-0.0348888	0.00102509	0.000884427	0.00533347	0.00554562	0.00232734	0.0108404	EUR
HG00119	1734240	1734240	0.0939221	-0.128973	-0.0294901	-0.038699	-6.44183e-05	0.000608375	0.00522764	0.00662401	0.00440143	0.0109769	EUR
HG00121	1734514	1734514	0.094126	-0.1328	-0.0259524	-0.0380283	-0.00124901	0.00702347	0.0094767	0.0143665	8.4665e-05	0.00594939	EUR
HG00123	1734640	1734640	0.0922901	-0.130813	-0.026279	-0.0357973	0.000863346	0.00491976	0.00380874	0.0126093	0.00308693	0.0141055	EUR
HG00125	1732692	1732692	0.0931094	-0.12824	-0.0297455	-0.0368189	-0.00306044	0.00726219	0.00831846	0.0139582	0.0060964	0.0102652	EUR
HG00128	1732400	1732400	0.0921815	-0.133797	-0.0256214	-0.0409031	-0.00132174	0.000826535	0.00503144	0.00604617	0.00378362	0.0121125	EUR
HG00129	1733746	1733746	0.0938976	-0.130444	-0.0293113	-0.0351942	-0.000519442	0.00723801	0.00755166	0.0111564	-0.000886156	0.00219144	EUR
HG00130	1732724	1732724	0.0903897	-0.131519	-0.0263033	-0.0419984	-0.000841364	0.00385894	-8.59607e-05	-0.00116956	0.00329716	-0.00330842	EUR
HG00132	1732102	1732102	0.0937876	-0.13443	-0.0252943	-0.0435909	-0.00114165	0.00490577	0.000670839	-0.000301897	0.00421669	0.0103592	EUR
HG00133	1732766	1732766	0.0930919	-0.132516	-0.0263019	-0.0392031	-0.00251512	-0.00135473	0.00342203	0.00385642	0.00249973	0.00279769	EUR
HG00136	1734030	1734030	0.0949407	-0.129866	-0.0293053	-0.0394239	0.00279464	0.00241246	0.00683529	0.00957478	-0.000352477	0.00993629	EUR
HG00137	1734584	1734584	0.0949954	-0.132174	-0.0268358	-0.0386023	0.00266074	-0.000520386	0.00260019	0.00320052	0.00302523	0.00918908	EUR
HG00139	1734056	1734056	0.0917199	-0.131681	-0.0274534	-0.0387406	0.000238548	0.00619048	0.00470571	0.00775725	0.00193499	0.00544824	EUR
HG00141	1734894	1734894	0.0947666	-0.131501	-0.026987	-0.0354273	-0.00171813	0.00190763	0.00676293	0.00897342	0.000173765	0.00690811	EUR
HG00142	1732040	1732040	0.0923384	-0.133863	-0.0263413	-0.039281	-0.0016194	0.000374776	0.004528	0.00523677	0.00136278	0.00561377	EUR
HG00144	1731994	1731994	0.0934517	-0.128779	-0.0322424	-0.0361636	-0.00269522	0.00256915	0.00566258	0.00597998	0.000268095	0.0108282	EUR
HG00148	1728574	1728574	0.09289	-0.132012	-0.0282675	-0.0393902	-0.000152751	0.00124021	0.00532289	0.00491323	0.00756995	0.0042878	EUR
HG00149	1734982	1734982	0.0923469	-0.134664	-0.031755	-0.041008	-0.0010558	0.00144649	0.00472573	0.0102461	-0.000278217	0.0103419	EUR
HG00154	1734710	1734710	0.0923109	-0.136876	-0.0296331	-0.0396006	-0.000847664	0.00263132	0.00158555	0.00431223	0.00291042	0.00989549	EUR
HG00156	1731638	1731638	0.0930671	-0.129903	-0.0292945	-0.0419683	0.00152061	0.00294231	0.00168584	0.0058015	0.00327447	0.0110631	EUR
HG00157	1735822	1735822	0.0929627	-0.128919	-0.0315541	-0.0409531	-0.00254211	0.00482384	0.0067157	0.00999556	0.00597794	0.00254562	EUR
HG00160	1733930	1733930	0.0938258	-0.133079	-0.0306458	-0.0383238	-0.00171423	0.00116224	0.00560275	0.00498127	0.00174777	0.0107608	EUR
HG00171	1735204	1735204	0.101218	-0.108004	-0.0342098	-0.0335784	-0.00712865	0.0376059	0.0358178	0.0738103	-0.00628406	-0.00906996	EUR
HG00173	1726658	1726658	0.0988614	-0.110309	-0.0320317	-0.0324532	-0.00530104	0.029143	0.0336733	0.0678682	-0.00166449	-0.012458	EUR
HG00174	1734850	1734850	0.0986691	-0.117674	-0.0327163	-0.0363796	-0.00350788	0.0265744	0.0257353	0.0493696	-0.00684337	-0.00716688	EUR
HG00176	1735462	1735462	0.098049	-0.110617	-0.0335602	-0.034901	-0.00437356	0.0299512	0.0296217	0.0673758	-0.00513639	-0.00942792	EUR
HG00177	1730810	1730810	0.0995733	-0.103134	-0.0316092	-0.031935	-0.00466259	0.0357071	0.0322143	0.0674102	-0.00624832	-0.0130449	EUR
HG00178	1733050	1733050	0.098114	-0.111469	-0.0299878	-0.0354719	-0.00689287	0.0311906	0.0301088	0.0607518	-0.00276072	-0.00896637	EUR
HG00179	1734734	1734734	0.0976663	-0.10766	-0.0299885	-0.0332821	-0.00557971	0.0296419	0.0305877	0.0670924	-0.00442287	-0.00676113	EUR
HG00180	1716152	1716152	0.0937168	-0.109938	-0.031081	-0.033437	-0.00630675	0.0289998	0.0327825	0.066256	-0.00666701	-0.000644618	EUR
HG00182	1733938	1733938	0.0966708	-0.109356	-0.0330445	-0.0292903	-0.00372332	0.032745	0.0337938	0.0706742	-0.00524269	-0.00596624	EUR
HG00183	1735582	1735582	0.0983782	-0.109377	-0.0272487	-0.0335286	-0.0040438	0.0306819	0.0327378	0.0642986	-0.00475924	-0.00979451	EUR
HG00185	1734370	1734370	0.0988086	-0.106382	-0.0287961	-0.0344032	-0.00714639	0.0330987	0.0362732	0.072225	-0.00856124	-0.0108093	EUR
HG00186	1734800	1734800	0.0994823	-0.110789	-0.0316596	-0.0330776	-0.00382221	0.0315483	0.0348639	0.0723116	-0.00650422	-0.0145071	EUR
HG00188	1733008	1733008	0.0976471	-0.113366	-0.0293814	-0.0318857	-0.00395461	0.0330598	0.0289956	0.0576803	-0.00357704	-0.0107063	EUR
HG00231	1731738	1731738	0.0939278	-0.128945	-0.0264457	-0.036547	-0.000996831	0.00196997	0.00297741	0.000739711	0.00283994	0.00510236	EUR
HG00233	1732378	1732378	0.0910033	-0.133491	-0.0291034	-0.0415492	0.00246794	-0.000219657	0.00429946	0.00665624	0.0030377	0.00118104	EUR
HG00234	1734476	1734476	0.0946501	-0.132921	-0.0259713	-0.0401687	-0.000287481	0.00261559	0.00352875	0.00438483	0.00111554	0.0119755	EUR
HG00236	1734404	1734404	0.0895126	-0.133347	-0.0290711	-0.0417026	0.00279365	0.00122362	0.00177738	0.00581101	0.00317093	0.00794319	EUR
