IID	super_pop
HG00099	EUR
HG00110	EUR
HG00113	EUR
HG00118	EUR
HG00135	EUR
HG00137	EUR
HG00139	EUR
HG00156	EUR
HG00171	EUR
HG00174	EUR
HG00179	EUR
HG00180	EUR
HG00185	EUR
HG00250	EUR
HG00256	EUR
HG00263	EUR
HG00271	EUR
HG00272	EUR
HG00277	EUR
HG00310	EUR
HG00332	EUR
HG00344	EUR
HG00350	EUR
HG00403	EAS
HG00404	EAS
HG00418	EAS
HG00419	EAS
HG00436	EAS
HG00437	EAS
HG00443	EAS
HG00457	EAS
HG00473	EAS
HG00513	EAS
HG00530	EAS
HG00534	EAS
HG00536	EAS
HG00556	EAS
HG00577	EAS
HG00583	EAS
HG00599	EAS
HG00607	EAS
HG00626	EAS
HG00628	EAS
HG00629	EAS
HG00631	EAS
HG00632	EAS
HG00634	EAS
HG00640	AMR
HG00651	EAS
HG00654	EAS
HG00656	EAS
HG00674	EAS
HG00675	EAS
HG00689	EAS
HG00690	EAS
HG00692	EAS
HG00705	EAS
HG00708	EAS
HG00716	EAS
HG00739	AMR
HG00759	EAS
HG00867	EAS
HG00879	EAS
HG01051	AMR
HG01054	AMR
HG01061	AMR
HG01083	AMR
HG01094	AMR
HG01110	AMR
HG01130	AMR
HG01162	AMR
HG01253	AMR
HG01260	AMR
HG01271	AMR
HG01305	AMR
HG01369	AMR
HG01444	AMR
HG01455	AMR
HG01474	AMR
HG01482	AMR
HG01491	AMR
HG01521	EUR
HG01598	EAS
HG01602	EUR
HG01620	EUR
HG01624	EUR
HG01669	EUR
HG01672	EUR
HG01685	EUR
HG01762	EUR
HG01779	EUR
HG01795	EAS
HG01797	EAS
HG01798	EAS
HG01805	EAS
HG01806	EAS
HG01808	EAS
HG01815	EAS
HG01816	EAS
HG01842	EAS
HG01843	EAS
HG01845	EAS
HG01851	EAS
HG01866	EAS
HG01869	EAS
HG01871	EAS
HG01883	AFR
HG01889	AFR
HG01894	AFR
HG01912	AFR
HG01914	AFR
HG01915	AFR
HG01918	AMR
HG01936	AMR
HG01950	AMR
HG01954	AMR
HG02008	AMR
HG02050	EAS
HG02053	AFR
HG02064	EAS
