IID	ALLELE_CT	NAMED_ALLELE_DOSAGE_SUM	PC1_AVG	PC2_AVG	PC3_AVG	PC4_AVG	PC5_AVG	PC6_AVG	PC7_AVG	PC8_AVG	PC9_AVG	PC10_AVG	super_pop
HG00403	1735484	1735484	0.11977	0.172446	-0.0152904	-0.0315327	-0.000656454	0.00357707	-0.000412488	0.00297694	-0.00118691	0.00308135	EAS
HG00404	1735902	1735902	0.124397	0.174678	-0.0170973	-0.0313857	-0.00157534	0.00489252	0.000515657	-0.00117301	0.00172088	0.00510872	EAS
HG00406	1732488	1732488	0.121092	0.175894	-0.0100738	-0.0358468	-0.00301612	-0.0017674	-0.00178879	-0.00293606	0.000602279	0.00655294	EAS
HG00409	1733636	1733636	0.124275	0.173128	-0.0183755	-0.033475	-0.00103591	0.0015943	-0.0022839	-0.000820969	0.000301253	0.0013026	EAS
HG00418	1735048	1735048	0.122923	0.172823	-0.0153269	-0.0354819	0.00113848	0.00607654	-0.00163325	-0.00212357	0.000148581	8.36573e-05	EAS
HG00419	1732424	1732424	0.122004	0.173083	-0.0143947	-0.031566	0.000483845	-0.0014313	-0.00285946	-0.000457122	0.000912137	0.00564911	EAS
HG00421	1733512	1733512	0.122532	0.174649	-0.0111787	-0.0341757	0.00108116	0.0031157	-0.00279538	-0.000247265	-0.00323103	0.00748781	EAS
HG00428	1735350	1735350	0.124882	0.171546	-0.0144897	-0.0337107	-0.00195304	-0.00025162	-0.0020738	-0.00220612	0.000968649	0.00482855	EAS
HG00436	1735380	1735380	0.123004	0.1752	-0.0183237	-0.0318129	-0.000516361	-0.00419373	0.000602993	-0.000287275	-0.000556914	0.000534007	EAS
HG00437	1735184	1735184	0.12264	0.174421	-0.0139481	-0.03489	0.00118374	0.00226516	-0.00110915	0.0011969	0.00111503	-0.000301452	EAS
HG00442	1734828	1734828	0.122823	0.176503	-0.0149298	-0.0349388	0.000669239	-0.00411556	0.000691459	0.00107311	-0.000870108	0.00315073	EAS
HG00443	1735162	1735162	0.122309	0.171468	-0.0124126	-0.0327434	0.000369945	-0.00139835	-0.000499801	-0.000583044	-0.00040795	0.00269319	EAS
HG00446	1735518	1735518	0.123561	0.173869	-0.0137051	-0.0305314	0.000148609	0.00246915	-0.00177288	-0.00055543	-0.00026803	0.0082816	EAS
HG00452	1731874	1731874	0.120733	0.173213	-0.0168734	-0.034565	-0.00128402	0.000605391	-0.00239304	-0.00110843	-0.00305786	0.00241281	EAS
HG00457	1733634	1733634	0.123241	0.173999	-0.0132193	-0.0367838	5.26765e-05	-0.00576709	-0.000159438	0.00166803	0.00328813	0.00933618	EAS
HG00458	1734902	1734902	0.122752	0.172375	-0.0157872	-0.0328247	0.000939907	0.000382203	-0.00221964	-0.00218692	0.000855558	0.00244828	EAS
HG00464	1735046	1735046	0.123528	0.173436	-0.0143874	-0.0331617	3.86733e-05	0.000142484	-0.00115346	0.000437933	0.00167427	0.00415685	EAS
HG00472	1734402	1734402	0.12319	0.174491	-0.0157077	-0.0369135	0.000718893	-0.00210528	-0.00140665	-0.00257746	-0.000576038	0.00261914	EAS
HG00473	1731828	1731828	0.12191	0.174435	-0.0140446	-0.034437	-1.31766e-05	-0.00147016	0.000854834	-0.000857946	0.00186811	-0.000349857	EAS
HG00476	1736048	1736048	0.124324	0.174165	-0.0119206	-0.0306237	2.23846e-05	-0.00147005	0.000148824	0.00111616	-0.00265823	0.00666459	EAS
