IID	super_pop
HG00097	EUR
HG00100	EUR
HG00102	EUR
HG00104	EUR
HG00111	EUR
HG00112	EUR
HG00121	EUR
HG00125	EUR
HG00130	EUR
HG00132	EUR
HG00133	EUR
HG00142	EUR
HG00144	EUR
HG00149	EUR
HG00158	EUR
HG00173	EUR
HG00178	EUR
HG00182	EUR
HG00183	EUR
HG00188	EUR
HG00231	EUR
HG00232	EUR
HG00234	EUR
HG00240	EUR
HG00246	EUR
HG00251	EUR
HG00258	EUR
HG00273	EUR
HG00274	EUR
HG00276	EUR
HG00278	EUR
HG00285	EUR
HG00288	EUR
HG00313	EUR
HG00318	EUR
HG00323	EUR
HG00330	EUR
HG00334	EUR
HG00335	EUR
HG00337	EUR
HG00342	EUR
HG00353	EUR
HG00356	EUR
HG00357	EUR
HG00364	EUR
HG00371	EUR
HG00378	EUR
HG00379	EUR
HG00381	EUR
HG00382	EUR
HG00421	EAS
HG00442	EAS
HG00458	EAS
HG00525	EAS
HG00560	EAS
HG00580	EAS
HG00623	EAS
HG00637	AMR
HG00662	EAS
HG00728	EAS
HG00732	AMR
HG00737	AMR
HG00740	AMR
HG00743	AMR
HG01046	EAS
HG01047	AMR
HG01048	AMR
HG01064	AMR
HG01072	AMR
HG01075	AMR
HG01079	AMR
HG01080	AMR
HG01082	AMR
HG01085	AMR
HG01088	AMR
HG01089	AMR
HG01098	AMR
HG01107	AMR
HG01113	AMR
HG01125	AMR
HG01131	AMR
HG01133	AMR
HG01136	AMR
HG01149	AMR
HG01174	AMR
HG01182	AMR
HG01187	AMR
HG01190	AMR
HG01205	AMR
HG01241	AMR
HG01247	AMR
HG01257	AMR
HG01286	AMR
HG01322	AMR
HG01326	AMR
HG01342	AMR
HG01344	AMR
HG01345	AMR
HG01363	AMR
HG01372	AMR
HG01377	AMR
HG01393	AMR
HG01395	AMR
HG01398	AMR
HG01403	AMR
HG01405	AMR
HG01441	AMR
HG01447	AMR
HG01452	AMR
HG01453	AMR
HG01456	AMR
HG01462	AMR
HG01465	AMR
HG01477	AMR
HG01494	AMR
HG01500	EUR
HG01504	EUR
HG01507	EUR
HG01522	EUR
HG01524	EUR
HG01527	EUR
HG01536	EUR
HG01551	AMR
HG01571	AMR
HG01572	AMR
HG01578	AMR
HG01600	EAS
HG01605	EUR
HG01607	EUR
HG01608	EUR
HG01619	EUR
HG01678	EUR
HG01682	EUR
HG01702	EUR
HG01704	EUR
HG01746	EUR
HG01747	EUR
HG01756	EUR
HG01765	EUR
HG01773	EUR
HG01783	EUR
HG01810	EAS
HG01882	AFR
HG01893	AMR
HG01917	AMR
HG01920	AMR
HG01938	AMR
HG01939	AMR
HG01944	AMR
HG01951	AMR
HG01961	AMR
HG01965	AMR
HG01971	AMR
HG01973	AMR
HG01974	AMR
HG01976	AMR
HG01977	AMR
HG01980	AMR
HG01990	AFR
HG01991	AMR
HG01997	AMR
HG02020	EAS
HG02079	EAS
HG02082	EAS
HG02090	AMR
HG02102	AMR
HG02105	AMR
HG02187	EAS
HG02218	EUR
HG02221	EUR
HG02235	EUR
HG02238	EUR
HG02250	EAS
HG02259	AMR
HG02298	AMR
HG02301	AMR
HG02322	AFR
HG02344	AMR
HG02348	AMR
HG02371	EAS
HG02384	EAS
HG02389	EAS
HG02394	EAS
HG02402	EAS
HG02410	EAS
HG02478	AFR
HG02490	SAS
HG02513	EAS
HG02524	EAS
