IID	ALLELE_CT	NAMED_ALLELE_DOSAGE_SUM	PC1_AVG	PC2_AVG	PC3_AVG	PC4_AVG	PC5_AVG	PC6_AVG	PC7_AVG	PC8_AVG	PC9_AVG	PC10_AVG	super_pop
HG00117	1734952	1734952	0.0944944	-0.13021	-0.0262812	-0.0377915	-0.000188891	0.00293258	0.00503762	0.00867724	0.00301176	0.003309	EUR
HG00120	1733902	1733902	0.0935127	-0.132632	-0.0289312	-0.0419712	-0.00171317	0.00683545	0.00906208	0.0121353	0.00193791	0.0129259	EUR
HG00122	1733350	1733350	0.0944399	-0.128277	-0.0322475	-0.0371387	-0.000772843	0.00148582	0.00315894	0.00730955	0.000812771	0.0137397	EUR
HG00158	1734910	1734910	0.0940054	-0.124683	-0.031124	-0.0328701	-0.00128509	0.0024607	0.00458003	0.00589199	0.00528291	0.0108277	EUR
HG00232	1734126	1734126	0.092429	-0.13497	-0.0259377	-0.0354743	-0.00116706	0.00335095	0.00385602	0.00447429	0.00283025	0.0115939	EUR
HG00269	1733572	1733572	0.0973032	-0.110875	-0.0295818	-0.0316512	-0.00398204	0.0332819	0.038112	0.0778915	-0.0068414	-0.00513291	EUR
HG00271	1735496	1735496	0.0975661	-0.104886	-0.0266355	-0.0341826	-0.00561717	0.038331	0.0392658	0.0803415	-0.00352203	-0.0162144	EUR
HG00272	1735332	1735332	0.0964844	-0.104616	-0.0258139	-0.0325743	-0.00693933	0.0319456	0.0370963	0.0765015	-0.00332672	-0.0133976	EUR
HG00332	1734340	1734340	0.0971534	-0.109736	-0.0281376	-0.031442	-0.00445325	0.0239474	0.0312292	0.0570913	-0.00150295	-0.0084432	EUR
HG00364	1735522	1735522	0.0980995	-0.110145	-0.03324	-0.0359594	-0.00654599	0.026392	0.0336079	0.0647805	-0.00256422	-0.00731875	EUR
HG00403	1735484	1735484	0.11977	0.172446	-0.0152904	-0.0315327	-0.000656454	0.00357707	-0.000412488	0.00297694	-0.00118691	0.00308135	EAS
HG00404	1735902	1735902	0.124397	0.174678	-0.0170973	-0.0313857	-0.00157534	0.00489252	0.000515657	-0.00117301	0.00172088	0.00510872	EAS
HG00406	1732488	1732488	0.121092	0.175894	-0.0100738	-0.0358468	-0.00301612	-0.0017674	-0.00178879	-0.00293606	0.000602279	0.00655294	EAS
HG00409	1733636	1733636	0.124275	0.173128	-0.0183755	-0.033475	-0.00103591	0.0015943	-0.0022839	-0.000820969	0.000301253	0.0013026	EAS
HG00418	1735048	1735048	0.122923	0.172823	-0.0153269	-0.0354819	0.00113848	0.00607654	-0.00163325	-0.00212357	0.000148581	8.36573e-05	EAS
HG00419	1732424	1732424	0.122004	0.173083	-0.0143947	-0.031566	0.000483845	-0.0014313	-0.00285946	-0.000457122	0.000912137	0.00564911	EAS
HG00421	1733512	1733512	0.122532	0.174649	-0.0111787	-0.0341757	0.00108116	0.0031157	-0.00279538	-0.000247265	-0.00323103	0.00748781	EAS
HG00428	1735350	1735350	0.124882	0.171546	-0.0144897	-0.0337107	-0.00195304	-0.00025162	-0.0020738	-0.00220612	0.000968649	0.00482855	EAS
HG00436	1735380	1735380	0.123004	0.1752	-0.0183237	-0.0318129	-0.000516361	-0.00419373	0.000602993	-0.000287275	-0.000556914	0.000534007	EAS
HG00437	1735184	1735184	0.12264	0.174421	-0.0139481	-0.03489	0.00118374	0.00226516	-0.00110915	0.0011969	0.00111503	-0.000301452	EAS
