IID	super_pop
HG00101	EUR
HG00116	EUR
HG00119	EUR
HG00122	EUR
HG00128	EUR
HG00176	EUR
HG00233	EUR
HG00244	EUR
HG00245	EUR
HG00282	EUR
HG00290	EUR
HG00306	EUR
HG00358	EUR
HG00384	EUR
HG00406	EAS
HG00409	EAS
HG00428	EAS
HG00537	EAS
HG00542	EAS
HG00565	EAS
HG00581	EAS
HG00589	EAS
HG00620	EAS
HG00657	EAS
HG00704	EAS
HG00736	AMR
HG00851	EAS
HG00864	EAS
HG01029	EAS
HG01067	AMR
HG01111	AMR
HG01119	AMR
HG01121	AMR
HG01139	AMR
HG01183	AMR
HG01195	AMR
HG01248	AMR
HG01254	AMR
HG01284	AMR
HG01308	AMR
HG01325	AMR
HG01341	AMR
HG01360	AMR
HG01374	AMR
HG01389	AMR
HG01396	AMR
HG01432	AMR
HG01435	AMR
HG01438	AMR
HG01483	AMR
HG01492	AMR
HG01518	EUR
HG01528	EUR
HG01593	SAS
HG01610	EUR
HG01675	EUR
HG01697	EUR
HG01710	EUR
HG01767	EUR
HG01781	EUR
HG01800	EAS
HG01802	EAS
HG01804	EAS
HG01811	EAS
HG01812	EAS
HG01852	EAS
HG01853	EAS
HG01857	EAS
HG01859	EAS
HG01860	EAS
HG01865	EAS
HG01880	AFR
HG01892	AMR
HG01921	AMR
HG01924	AMR
HG01958	AFR
HG01979	AMR
HG01985	AFR
HG02009	AFR
HG02010	AFR
HG02031	EAS
HG02047	EAS
HG02057	EAS
HG02086	EAS
HG02107	AFR
HG02116	EAS
HG02137	EAS
HG02153	EAS
HG02154	EAS
HG02168	EAS
HG02169	EAS
HG02182	EAS
HG02184	EAS
HG02188	EAS
HG02265	AMR
HG02272	AMR
HG02274	AMR
HG02282	AFR
HG02299	AMR
HG02343	AFR
HG02375	EAS
HG02390	EAS
HG02395	EAS
HG02401	EAS
HG02405	EAS
HG02427	AFR
HG02464	AFR
HG02481	AFR
HG02505	AFR
HG02508	AFR
HG02521	EAS
HG02546	AFR
HG02554	AFR
HG02555	AFR
HG02558	AFR
HG02570	AFR
HG02588	AFR
HG02595	AFR
HG02597	SAS
HG02603	SAS
HG02604	SAS
HG02623	AFR
HG02646	AFR
HG02651	SAS
HG02657	SAS
HG02675	AFR
HG02682	SAS
HG02691	SAS
HG02715	AFR
HG02716	AFR
HG02759	AFR
HG02760	AFR
HG02781	SAS
HG02805	AFR
HG02810	AFR
HG02811	AFR
HG02837	AFR
HG02854	AFR
HG02869	AFR
HG02878	AFR
HG02879	AFR
HG02881	AFR
HG02882	AFR
HG02895	AFR
HG02941	AFR
HG02965	AFR
HG02973	AFR
HG02977	AFR
HG03007	SAS
HG03018	SAS
HG03022	SAS
HG03057	AFR
HG03060	AFR
HG03076	AFR
HG03077	AFR
HG03078	AFR
HG03079	AFR
HG03081	AFR
HG03084	AFR
HG03099	AFR
HG03100	AFR
HG03117	AFR
HG03132	AFR
HG03133	AFR
HG03157	AFR
HG03159	AFR
HG03162	AFR
HG03172	AFR
HG03175	AFR
HG03190	AFR
HG03228	SAS
HG03229	SAS
HG03238	SAS
HG03250	AFR
HG03267	AFR
HG03270	AFR
