round,phase,loss,accuracy,num_examples,acc_AFR,acc_AMR,acc_EAS,acc_EUR,acc_SAS,n_AFR,n_AMR,n_EAS,n_EUR,n_SAS
1,fit,1.2757898314784353,,410,,,,,,,,,,
1,evaluate,0.08920939481602265,1.0,410,1.0,1.0,1.0,1.0,1.0,62,42,59,125,122
2,fit,0.12624752864492342,,410,,,,,,,,,,
2,evaluate,0.009152851110019792,1.0,410,1.0,1.0,1.0,1.0,1.0,62,42,59,125,122
3,fit,0.07170860356507966,,410,,,,,,,,,,
3,evaluate,0.007499763449931589,0.9975609756097561,410,1.0,0.976190447807312,1.0,1.0,1.0,62,42,59,125,122
4,fit,0.05817290311544919,,410,,,,,,,,,,
4,evaluate,0.0025694062541543436,1.0,410,1.0,1.0,1.0,1.0,1.0,62,42,59,125,122
5,fit,0.034866430960112035,,410,,,,,,,,,,
5,evaluate,0.01186006573530344,1.0,410,1.0,1.0,1.0,1.0,1.0,62,42,59,125,122
6,fit,0.021184992349844833,,410,,,,,,,,,,
6,evaluate,0.004019227188949186,0.9975609756097561,410,1.0,0.976190447807312,1.0,1.0,1.0,62,42,59,125,122
7,fit,0.030922882080631098,,410,,,,,,,,,,
7,evaluate,0.0026664822782130125,1.0,410,1.0,1.0,1.0,1.0,1.0,62,42,59,125,122
8,fit,0.0309784471005864,,410,,,,,,,,,,
8,evaluate,0.008340115166412523,1.0,410,1.0,1.0,1.0,1.0,1.0,62,42,59,125,122
9,fit,0.037112732840166876,,410,,,,,,,,,,
9,evaluate,0.0028861690840970436,1.0,410,1.0,1.0,1.0,1.0,1.0,62,42,59,125,122
10,fit,0.004248078952654256,,410,,,,,,,,,,
10,evaluate,0.00047973545910141326,1.0,410,1.0,1.0,1.0,1.0,1.0,62,42,59,125,122
11,fit,0.02460516764452992,,410,,,,,,,,,,
11,evaluate,0.0012613490364926222,1.0,410,1.0,1.0,1.0,1.0,1.0,62,42,59,125,122
12,fit,0.051226622178616635,,410,,,,,,,,,,
12,evaluate,0.0003205695166588367,1.0,410,1.0,1.0,1.0,1.0,1.0,62,42,59,125,122
13,fit,0.012022182689739007,,410,,,,,,,,,,
13,evaluate,0.004465726009444692,1.0,410,1.0,1.0,1.0,1.0,1.0,62,42,59,125,122
14,fit,0.007212736973909928,,410,,,,,,,,,,
14,evaluate,0.0001494694531454745,1.0,410,1.0,1.0,1.0,1.0,1.0,62,42,59,125,122
15,fit,0.014318405490152704,,410,,,,,,,,,,
15,evaluate,0.05971752174306088,0.9780487804878049,410,1.0,1.0,1.0,0.9279999732971191,1.0,62,42,59,125,122
