round,phase,loss,accuracy,num_examples,acc_AFR,acc_AMR,acc_EAS,acc_EUR,acc_SAS,n_AFR,n_AMR,n_EAS,n_EUR,n_SAS
1,fit,1.0008247243730646,,607,,,,,,,,,,
1,evaluate,0.07288202457129955,0.9933774834437086,151,1.0,0.9375,1.0,1.0,1.0,113,16,7,11,4
2,fit,0.30552864447006295,,607,,,,,,,,,,
2,evaluate,0.04796977193036582,0.9933774834437086,151,1.0,0.9375,1.0,1.0,1.0,113,16,7,11,4
3,fit,0.18876000005586416,,607,,,,,,,,,,
3,evaluate,0.047699737890798136,0.9867549668874173,151,1.0,0.875,1.0,1.0,1.0,113,16,7,11,4
4,fit,0.1895651809862006,,607,,,,,,,,,,
4,evaluate,0.03741081161424518,0.9933774834437086,151,1.0,0.9375,1.0,1.0,1.0,113,16,7,11,4
5,fit,0.15967669131120937,,607,,,,,,,,,,
5,evaluate,0.12264068312942981,0.9470198675496688,151,1.0,0.9375,1.0,0.3636363744735718,1.0,113,16,7,11,4
6,fit,0.17883458964589458,,607,,,,,,,,,,
6,evaluate,0.027121959587020683,0.9933774834437086,151,1.0,0.9375,1.0,1.0,1.0,113,16,7,11,4
7,fit,0.1818206705469684,,607,,,,,,,,,,
7,evaluate,0.03801381336743361,0.9933774834437086,151,1.0,0.9375,1.0,1.0,1.0,113,16,7,11,4
8,fit,0.19751207795649717,,607,,,,,,,,,,
8,evaluate,0.04082176492956933,0.9933774834437086,151,1.0,0.9375,1.0,1.0,1.0,113,16,7,11,4
9,fit,0.14451424178524144,,607,,,,,,,,,,
9,evaluate,0.04663882404929609,0.9933774834437086,151,1.0,0.9375,1.0,1.0,1.0,113,16,7,11,4
10,fit,0.15364856724562215,,607,,,,,,,,,,
10,evaluate,0.04213318498368608,0.9933774834437086,151,1.0,0.9375,1.0,1.0,1.0,113,16,7,11,4
11,fit,0.15307054731381772,,607,,,,,,,,,,
11,evaluate,0.031925683021836446,0.9933774834437086,151,1.0,0.9375,1.0,1.0,1.0,113,16,7,11,4
12,fit,0.18552468018165919,,607,,,,,,,,,,
12,evaluate,0.0427686336057377,0.9933774834437086,151,1.0,0.9375,1.0,1.0,1.0,113,16,7,11,4
13,fit,0.2053813117373992,,607,,,,,,,,,,
13,evaluate,0.04310403216186387,0.9933774834437086,151,1.0,0.9375,1.0,1.0,1.0,113,16,7,11,4
14,fit,0.15229412106976414,,607,,,,,,,,,,
14,evaluate,0.04106447717713309,0.9933774834437086,151,1.0,0.9375,1.0,1.0,1.0,113,16,7,11,4
15,fit,0.1807215765775733,,607,,,,,,,,,,
15,evaluate,0.04991404381053144,0.9933774834437086,151,1.0,0.9375,1.0,1.0,1.0,113,16,7,11,4
