round,phase,loss,accuracy,num_examples,acc_AFR,acc_AMR,acc_EAS,acc_EUR,acc_SAS,n_AFR,n_AMR,n_EAS,n_EUR,n_SAS
1,fit,1.220452826890734,,496,,,,,,,,,,
1,evaluate,0.15481243003159761,1.0,124,1.0,1.0,1.0,1.0,1.0,7,23,85,5,4
2,fit,0.36370481578107444,,496,,,,,,,,,,
2,evaluate,0.010234257926640566,1.0,124,1.0,1.0,1.0,1.0,1.0,7,23,85,5,4
3,fit,0.2572947647629095,,496,,,,,,,,,,
3,evaluate,0.0032870777322386857,1.0,124,1.0,1.0,1.0,1.0,1.0,7,23,85,5,4
4,fit,0.16267778147988382,,496,,,,,,,,,,
4,evaluate,0.004014423439912207,1.0,124,1.0,1.0,1.0,1.0,1.0,7,23,85,5,4
5,fit,0.22418924459470285,,496,,,,,,,,,,
5,evaluate,0.0737208608693436,0.967741935483871,124,1.0,1.0,1.0,0.20000000298023224,1.0,7,23,85,5,4
6,fit,0.16972488159362617,,496,,,,,,,,,,
6,evaluate,0.0032563739730449015,1.0,124,1.0,1.0,1.0,1.0,1.0,7,23,85,5,4
7,fit,0.2127040385666694,,496,,,,,,,,,,
7,evaluate,0.0010644290341588203,1.0,124,1.0,1.0,1.0,1.0,1.0,7,23,85,5,4
8,fit,0.11887653266932184,,496,,,,,,,,,,
8,evaluate,0.0007898023241068586,1.0,124,1.0,1.0,1.0,1.0,1.0,7,23,85,5,4
9,fit,0.18977149995302053,,496,,,,,,,,,,
9,evaluate,0.004233194914377236,1.0,124,1.0,1.0,1.0,1.0,1.0,7,23,85,5,4
10,fit,0.2113684752656545,,496,,,,,,,,,,
10,evaluate,0.00534913907176815,1.0,124,1.0,1.0,1.0,1.0,1.0,7,23,85,5,4
11,fit,0.15848840184269414,,496,,,,,,,,,,
11,evaluate,0.004939922199582725,1.0,124,1.0,1.0,1.0,1.0,1.0,7,23,85,5,4
12,fit,0.13431593828253455,,496,,,,,,,,,,
12,evaluate,0.010397807451340668,1.0,124,1.0,1.0,1.0,1.0,1.0,7,23,85,5,4
13,fit,0.14024998553988202,,496,,,,,,,,,,
13,evaluate,0.007008229842256242,1.0,124,1.0,1.0,1.0,1.0,1.0,7,23,85,5,4
14,fit,0.11624078284442094,,496,,,,,,,,,,
14,evaluate,0.003641141991238328,1.0,124,1.0,1.0,1.0,1.0,1.0,7,23,85,5,4
15,fit,0.12806117135961917,,496,,,,,,,,,,
15,evaluate,0.0006183523564686766,1.0,124,1.0,1.0,1.0,1.0,1.0,7,23,85,5,4
