round,phase,loss,accuracy,num_examples,acc_AFR,acc_AMR,acc_EAS,acc_EUR,acc_SAS,n_AFR,n_AMR,n_EAS,n_EUR,n_SAS
1,fit,1.0347137753269635,,507,,,,,,,,,,
1,evaluate,0.19308931194245815,1.0,126,1.0,1.0,1.0,1.0,1.0,6,20,8,1,91
2,fit,0.34057438002491836,,507,,,,,,,,,,
2,evaluate,0.007086225232342258,1.0,126,1.0,1.0,1.0,1.0,1.0,6,20,8,1,91
3,fit,0.23653100918454584,,507,,,,,,,,,,
3,evaluate,0.008343438770680223,1.0,126,1.0,1.0,1.0,1.0,1.0,6,20,8,1,91
4,fit,0.14958231093805807,,507,,,,,,,,,,
4,evaluate,0.002327762220375007,1.0,126,1.0,1.0,1.0,1.0,1.0,6,20,8,1,91
5,fit,0.26291202974607586,,507,,,,,,,,,,
5,evaluate,0.02362859521599603,0.9920634920634921,126,1.0,1.0,1.0,0.0,1.0,6,20,8,1,91
6,fit,0.09493791899467396,,507,,,,,,,,,,
6,evaluate,0.002536881640480715,1.0,126,1.0,1.0,1.0,1.0,1.0,6,20,8,1,91
7,fit,0.1272511959541589,,507,,,,,,,,,,
7,evaluate,0.001006358077574987,1.0,126,1.0,1.0,1.0,1.0,1.0,6,20,8,1,91
8,fit,0.1269772485638896,,507,,,,,,,,,,
8,evaluate,0.0005858231106685707,1.0,126,1.0,1.0,1.0,1.0,1.0,6,20,8,1,91
9,fit,0.23360905346817162,,507,,,,,,,,,,
9,evaluate,0.0021661697974195704,1.0,126,1.0,1.0,1.0,1.0,1.0,6,20,8,1,91
10,fit,0.14683015554783196,,507,,,,,,,,,,
10,evaluate,0.008028836742596468,1.0,126,1.0,1.0,1.0,1.0,1.0,6,20,8,1,91
11,fit,0.1146426903695783,,507,,,,,,,,,,
11,evaluate,0.0034463776883058017,1.0,126,1.0,1.0,1.0,1.0,1.0,6,20,8,1,91
12,fit,0.2256015092339112,,507,,,,,,,,,,
12,evaluate,0.004632399148249533,1.0,126,1.0,1.0,1.0,1.0,1.0,6,20,8,1,91
13,fit,0.12785003304577458,,507,,,,,,,,,,
13,evaluate,0.0028904557975693024,1.0,126,1.0,1.0,1.0,1.0,1.0,6,20,8,1,91
14,fit,0.22533065379798245,,507,,,,,,,,,,
14,evaluate,0.005624414787234855,1.0,126,1.0,1.0,1.0,1.0,1.0,6,20,8,1,91
15,fit,0.12811060053473966,,507,,,,,,,,,,
15,evaluate,0.0007084525968821254,1.0,126,1.0,1.0,1.0,1.0,1.0,6,20,8,1,91
