IID	ALLELE_CT	NAMED_ALLELE_DOSAGE_SUM	PC1_AVG	PC2_AVG	PC3_AVG	PC4_AVG	PC5_AVG	PC6_AVG	PC7_AVG	PC8_AVG	PC9_AVG	PC10_AVG	super_pop
HG00101	1732384	1732384	0.0913618	-0.129336	-0.0303933	-0.0396206	-0.00141153	0.00131653	0.00562333	0.00869936	0.00364283	0.0059805	EUR
HG00135	1731294	1731294	0.0933858	-0.133981	-0.0300602	-0.035768	-0.00199436	1.10854e-05	0.00490258	0.00571937	-0.000302024	0.00180706	EUR
HG00270	1735806	1735806	0.100816	-0.113148	-0.0273536	-0.037558	-0.00513359	0.0279458	0.0292763	0.0575687	-0.00402375	-0.00789074	EUR
HG00525	1733500	1733500	0.121264	0.168402	-0.0162192	-0.0307178	-0.00236775	0.00604158	-0.00184471	-0.0038448	0.00214734	0.00136453	EAS
HG00628	1736056	1736056	0.120838	0.17185	-0.017308	-0.0335984	-0.000332012	0.0014814	-0.000534992	-0.00201221	-0.00133949	0.00860424	EAS
HG00629	1731736	1731736	0.123081	0.173973	-0.0163417	-0.0328524	-0.00287796	0.000138188	-0.000266253	0.00129305	0.000825667	0.00505596	EAS
HG00637	1734996	1734996	0.0394264	-0.0773672	-0.035815	-0.0016968	0.000581226	-0.00692479	-0.0143591	-0.0208076	-0.00127959	-0.00885859	AMR
HG00654	1732706	1732706	0.121853	0.172888	-0.00971207	-0.0366136	-0.000635633	-0.00925991	0.000791871	0.00214311	0.000193452	0.00696793	EAS
HG00731	1729364	1729364	0.0806662	-0.106744	-0.0358167	-0.0187498	0.00156271	-0.0107619	-0.0144292	-0.0251967	-0.00331604	-0.00891477	AMR
HG00737	1735560	1735560	0.0617389	-0.0989752	-0.0413028	-0.0102544	-0.000884553	-0.0100937	-0.0132815	-0.0185483	0.000759125	-0.00463471	AMR
HG00766	1736024	1736024	0.121036	0.169797	-0.0108161	-0.0423527	-0.000246512	-0.0501315	0.0132378	0.0155493	-0.00169721	0.00361184	EAS
HG01051	1732388	1732388	0.0157251	-0.0612618	-0.0418033	0.017671	-0.00049309	-0.00763985	-0.0135842	-0.0135867	-0.00950424	-0.0135854	AMR
HG01072	1735138	1735138	0.0603621	-0.0925154	-0.0434964	6.23121e-05	0.000689869	-0.0179074	-0.0206463	-0.0335988	-0.00196516	-0.00826644	AMR
HG01079	1728498	1728498	0.0302718	-0.0778321	-0.0350019	0.00152659	0.00389688	-0.00947456	-0.0125885	-0.0218381	-0.0034274	-0.0139114	AMR
HG01080	1734448	1734448	0.0623768	-0.0749198	-0.0509286	0.0206223	0.00155311	-0.0134192	-0.0122424	-0.0231709	-0.00121166	-0.013582	AMR
HG01085	1732624	1732624	0.0482603	-0.0832503	-0.0361361	-0.00794185	0.00105265	-0.00796281	-0.0100768	-0.0172565	-0.000607912	-0.00889374	AMR
HG01111	1734294	1734294	0.0523263	-0.0839164	-0.0424194	-0.00180827	-0.00166312	-0.00796879	-0.0142037	-0.0215339	-0.000501221	-0.000993799	AMR
HG01125	1732284	1732284	0.060868	-0.0618618	-0.0474125	0.0297217	0.000188616	-0.0096494	-0.00940082	-0.0112732	0.00212873	-0.000798615	AMR
HG01149	1735394	1735394	0.0638116	-0.0230911	-0.0702833	0.0762465	-6.68815e-05	-0.00997611	-0.00616567	-0.0145635	0.00330544	-0.0131091	AMR
HG01162	1733982	1733982	0.0563045	-0.0837276	-0.0398623	0.00710738	0.00274253	-0.00922595	-0.0172486	-0.0200493	-0.000446995	-0.00984294	AMR
HG01170	1730060	1730060	0.0494373	-0.0800441	-0.0401776	0.00561176	0.000957756	-0.0109496	-0.0113098	-0.0161115	-0.00354503	-0.0151409	AMR
HG01187	1732646	1732646	0.0308242	-0.0500812	-0.0538862	0.029382	0.00106445	-0.00348845	-0.00991092	-0.0156572	-0.00417791	-0.00640315	AMR
HG01241	1687838	1687838	-0.162192	-0.0137132	-0.019302	0.00716717	0.0051554	-0.00328909	0.00221053	-0.00597342	0.0154593	-0.000871686	AMR
